"state_fips","state","cases","deaths","pop_total","pop_white","edu_total","edu_hs","edu_ged","edu_bachelors","edu_masters","edu_profschool","edu_phd","income_per_capita","pop_wo_healthcare","percent_minority","top_half_minority","percent_bachelors","top_half_edu","percent_healthcare","top_half_healthcare","cases_per_100000","deaths_per_100000"
19,"Iowa",476713,6848,3139508,2826070,2092785,565444,82954,403801,135213,34033,24784,32176,144607,9.98366623050491,0,28.5662884625033,0,95.3939598179078,1,15184.3218746377,218.123349263643
20,"Kansas",428023,6214,2910652,2455935,1902279,416403,76404,400938,173172,37218,23742,31814,251030,15.6225134437233,0,33.3846927816582,1,91.3754718873984,0,14705.3993400791,213.491685024524
21,"Kentucky",738717,9637,4449052,3868479,3019093,792393,200705,428846,216508,55258,30470,28178,248714,13.0493642241089,0,24.2152858490944,0,94.4097304324607,1,16603.9192169478,216.607942545963
22,"Louisiana",754950,14446,4664362,2892275,3125153,893660,167728,490514,180464,53075,29532,27923,431416,37.9920555051259,1,24.1135394011109,0,90.7508036468868,0,16185.4933214875,309.710095399971
23,"Maine",99807,1113,1335492,1259522,974117,259470,47119,194761,82129,19771,13227,32637,103829,5.68854025332986,0,31.8121950443325,1,92.2254120578783,0,7473.42552407652,83.3400724227476
24,"Maryland",553824,10771,6018848,3343003,4139008,890361,128292,891511,535947,126397,108869,42122,359135,44.4577600231805,1,40.1720412234043,1,94.0331604984874,1,9201.49503692401,178.954510896437
25,"Massachusetts",841198,18896,6850553,5348538,4781683,1014308,134217,1151870,656508,145317,135370,43761,184322,21.9254562368907,0,43.6889061863783,1,97.3093850963565,1,12279.2714690332,275.831746721761
26,"Michigan",1235506,23151,9965265,7813755,6813480,1695368,271948,1207829,575818,120906,80617,31713,542855,21.5900931886909,0,29.1359187962686,0,94.5525282067261,1,12398.1248867943,232.316952936023
27,"Minnesota",768236,8639,5563378,4609049,3766900,812779,115671,892893,327716,83373,55185,37625,246184,17.1537688073685,0,36.0818444875096,1,95.5749186914856,1,13808.8046506996,155.283354825072
28,"Mississippi",500708,9977,2984418,1743217,1975670,477712,123643,269736,118193,27801,19423,24369,358580,41.5893819163401,1,22.0255913183882,0,87.984927044402,0,16777.4085265536,334.30303663897
29,"Missouri",862643,12658,6104910,5015904,4150049,1080715,189907,745843,340251,74401,52067,30810,559885,17.8381990889301,0,29.2180164619743,0,90.8289393291629,0,14130.3147794153,207.341303966807
30,"Montana",169674,2242,1050649,930204,723295,175082,33459,155230,52801,14133,9505,31151,93166,11.4638666195847,0,32.0296697751263,1,91.1325285609181,0,16149.4466753407,213.391912998537
